iter	Passed	Remaining
0	346	276583
1	479	191187
2	547	145321
3	646	128747
4	730	116209
5	816	108096
6	912	103343
7	1012	100233
8	1095	96326
9	1187	93850
10	1261	90454
11	1337	87802
12	1406	85158
13	1503	84388
14	1555	81430
15	1655	81134
16	1752	80710
17	1823	79208
18	1953	80290
19	2065	80554
20	2158	80065
21	2257	79817
22	2334	78872
23	2417	78178
24	2525	78294
25	2615	77848
26	2778	79544
27	2917	80441
28	3061	81388
29	3150	80864
30	3256	80790
31	3403	81681
32	3640	84620
33	3786	85308
34	3939	86116
35	4033	85609
36	4175	86114
37	4292	86070
38	4407	85997
39	4607	87535
40	4722	87416
41	4921	88817
42	5043	88782
43	5202	89386
44	5416	90872
45	5575	91395
46	5730	91815
47	5900	92446
48	6095	93416
49	6358	95380
50	6668	97931
51	6998	100676
52	7417	104549
53	7725	106724
54	7866	106552
55	8071	107237
56	8220	107156
57	8390	107345
58	8559	107503
59	8854	109199
60	9250	112067
61	9309	110815
62	9361	109509
63	9398	108087
64	9434	106685
65	9469	105315
66	9515	104104
67	9546	102769
68	9586	101559
69	10414	108611
70	10631	109163
71	10812	109322
72	10932	108878
73	11126	109159
74	11393	110133
75	11498	109534
76	11665	109536
77	11723	108517
78	11825	107924
79	11897	107074
80	12024	106737
81	12124	106163
82	12250	105829
83	12420	105870
84	12553	105597
85	12752	105878
86	12905	105762
87	13094	105948
88	13177	105274
89	13358	105385
90	13524	105371
91	13647	105027
92	13753	104554
93	13819	103795
94	13953	103551
95	14059	103105
96	14119	102332
97	14175	101541
98	14226	100733
99	14278	99948
100	14332	99195
101	14374	98364
102	14417	97563
103	14466	96815
104	14505	96009
105	14570	95393
106	14641	94830
107	14728	94371
108	14809	93884
109	14905	93499
110	15019	93226
111	15119	92879
112	15216	92510
113	15364	92453
114	15433	91930
115	15561	91760
116	15705	91682
117	15890	91840
118	16123	92268
119	16222	91929
120	16561	92936
121	16866	93736
122	17027	93720
123	17146	93477
124	17252	93165
125	17357	92846
126	17476	92612
127	17602	92410
128	17689	92012
129	17774	91607
130	17862	91220
131	17938	90781
132	18026	90402
133	18105	89987
134	18198	89642
135	18279	89246
136	18341	88764
137	18410	88318
