iter	Passed	Remaining
0	15	12719
1	25	10278
2	31	8396
3	120	24078
4	136	21726
5	144	19163
6	155	17571
7	260	25753
8	297	26184
9	316	24976
10	327	23459
11	447	29355
12	458	27748
13	480	27000
14	491	25724
15	498	24433
16	650	29960
17	695	30233
18	720	29620
19	727	28369
20	868	32199
21	879	31103
22	895	30247
23	919	29715
24	926	28730
25	1001	29817
26	1057	30282
27	1204	33216
28	1220	32455
29	1230	31582
30	1237	30696
31	1362	32700
32	1542	35853
33	1573	35439
34	1586	34687
35	1594	33836
36	1609	33199
37	1696	34022
38	1708	33340
39	1727	32814
40	1744	32303
41	1757	31721
42	1800	31702
43	1823	31325
44	1887	31664
45	1940	31800
46	2004	32110
47	2049	32105
48	2078	31850
49	2109	31648
50	2141	31453
51	2286	32888
52	2371	33424
53	2409	33288
54	2427	32879
55	2442	32452
56	2583	33673
57	2757	35270
58	2774	34845
59	2788	34391
60	2801	33936
61	2871	34183
62	2889	33808
63	2916	33542
64	2923	33058
65	2933	32620
66	2982	32631
67	2999	32293
68	3033	32138
69	3246	33853
70	3264	33516
71	3276	33125
72	3316	33024
73	3363	32997
74	3447	33330
75	3476	33115
76	3501	32877
77	3529	32671
78	3633	33159
79	3668	33018
80	3674	32615
81	3685	32267
82	3693	31904
83	3847	32795
84	4005	33694
85	4056	33680
86	4069	33348
87	4081	33027
88	4089	32673
89	4160	32820
90	4187	32627
91	4216	32444
92	4242	32250
93	4340	32600
94	4358	32346
95	4407	32322
96	4498	32602
97	4587	32858
98	4597	32552
99	4607	32254
100	4615	31942
101	4626	31657
102	4719	31935
103	4741	31732
104	4808	31824
105	4838	31675
106	4938	31986
107	4955	31750
108	4968	31499
109	4987	31282
110	4997	31022
111	5094	31292
112	5106	31043
113	5148	30980
114	5222	31110
115	5290	31194
116	5300	30944
117	5314	30717
118	5327	30485
119	5525	31312
120	5659	31759
121	5721	31794
122	5762	31718
123	5784	31534
124	5801	31329
125	5825	31163
126	5853	31021
127	6008	31544
128	6037	31402
129	6052	31193
130	6057	30935
131	6087	30804
132	6202	31106
133	6230	30967
134	6236	30722
135	6250	30515
136	6296	30472
137	6403	30720
138	6421	30536
139	6444	30381
140	6456	30178
141	6543	30323
142	6586	30260
143	6595	30045
144	6604	29835
145	6619	29653
146	6801	30214
147	6820	30044
148	6837	29873
149	6850	29687
150	6948	29865
151	6967	29704
152	7015	29667
153	7030	29492
